LineStatus;Quantity;DocDate;BaseCard;CFOPCode
C;124;2019-11-04 00:00:00.000;A-3178;5102
C;124;2019-11-04 00:00:00.000;A-3178;5101
C;483;2019-11-04 00:00:00.000;A-3178;5102
C;372;2019-11-04 00:00:00.000;A-3178;5102
C;374;2019-11-04 00:00:00.000;A-3178;5102
C;160;2019-11-04 00:00:00.000;A-3178;5102
C;147;2019-11-04 00:00:00.000;A-3816;5102
C;226;2019-11-04 00:00:00.000;A-3816;5102
C;166;2019-11-04 00:00:00.000;A-3816;5102
C;385;2019-11-04 00:00:00.000;A-3816;5102
O;486;2019-11-04 00:00:00.000;A-3816;5102
O;387;2019-11-04 00:00:00.000;A-3816;5102
C;270;2019-11-04 00:00:00.000;A-3178;5102
C;197;2019-11-04 00:00:00.000;A-3178;5101
C;481;2019-11-04 00:00:00.000;A-3178;5102
C;189;2019-11-04 00:00:00.000;A-3178;5102
C;124;2019-11-04 00:00:00.000;A-3178;5102
C;223;2019-11-04 00:00:00.000;A-3178;5102
O;321;2019-11-04 00:00:00.000;A-3178;5102
O;248;2019-11-04 00:00:00.000;A-3178;5101
O;388;2019-11-04 00:00:00.000;A-3178;5102
O;269;2019-11-04 00:00:00.000;A-3178;5102
O;350;2019-11-04 00:00:00.000;A-3178;5102
O;258;2019-11-04 00:00:00.000;A-3178;5102
O;130;2019-11-04 00:00:00.000;A-4226;6403
O;458;2019-11-04 00:00:00.000;A-4226;6403
O;137;2019-11-04 00:00:00.000;A-4226;6102
C;390;2019-10-31 00:00:00.000;A-2680;6949
C;386;2019-10-31 00:00:00.000;A-3602;5949
O;166;2019-11-04 00:00:00.000;A-4340;6117
O;190;2019-11-04 00:00:00.000;A-4340;6117
O;103;2019-11-04 00:00:00.000;A-4340;6117
O;165;2019-11-04 00:00:00.000;A-4340;6117
O;408;2019-11-04 00:00:00.000;A-4340;6117
O;120;2019-11-04 00:00:00.000;A-4340;6117
O;422;2019-11-04 00:00:00.000;A-208;5102
O;174;2019-11-04 00:00:00.000;A-208;5102
O;372;2019-11-04 00:00:00.000;A-208;5102
O;410;2019-11-04 00:00:00.000;A-208;5102
O;156;2019-11-04 00:00:00.000;A-208;5102
O;142;2019-11-04 00:00:00.000;A-208;5102
O;376;2019-11-04 00:00:00.000;A-208;5102
O;292;2019-11-04 00:00:00.000;A-208;5102
O;483;2019-11-04 00:00:00.000;A-208;5102
O;296;2019-11-04 00:00:00.000;A-208;5102
O;165;2019-11-04 00:00:00.000;A-208;5102
C;154;2019-11-04 00:00:00.000;A-4166;6108
C;307;2019-11-04 00:00:00.000;A-4166;6108
C;122;2019-11-04 00:00:00.000;A-4166;6108
C;256;2019-11-04 00:00:00.000;A-4166;6108
O;390;2019-11-04 00:00:00.000;A-4174;5102
O;308;2019-11-04 00:00:00.000;A-4178;5102
O;436;2019-11-04 00:00:00.000;A-3592;5102
O;102;2019-11-04 00:00:00.000;A-374;5102
O;356;2019-11-04 00:00:00.000;A-374;5102
O;234;2019-11-04 00:00:00.000;A-808;5102
O;310;2019-11-04 00:00:00.000;A-3730;6102
O;456;2019-11-04 00:00:00.000;A-3730;6102
O;293;2019-11-04 00:00:00.000;A-18;5102
O;433;2019-11-04 00:00:00.000;A-18;5101
O;261;2019-11-04 00:00:00.000;A-4272;5117
O;354;2019-11-04 00:00:00.000;A-4272;5117
O;382;2019-11-04 00:00:00.000;A-4272;5117
O;258;2019-11-04 00:00:00.000;A-3750;5102
O;101;2019-11-04 00:00:00.000;A-3750;5102
O;478;2019-11-04 00:00:00.000;A-4420;5102
O;196;2019-11-04 00:00:00.000;A-832;6108
O;263;2019-11-04 00:00:00.000;A-832;6108
O;447;2019-11-04 00:00:00.000;A-832;6108
O;271;2019-11-04 00:00:00.000;A-832;6108
O;160;2019-11-04 00:00:00.000;A-832;6108
O;243;2019-11-04 00:00:00.000;A-832;6108
O;462;2019-11-04 00:00:00.000;A-832;6108
O;146;2019-11-04 00:00:00.000;A-832;6108
O;378;2019-11-04 00:00:00.000;A-832;6108
C;358;2019-11-04 00:00:00.000;A-4166;6108
C;460;2019-11-04 00:00:00.000;A-4166;6108
C;260;2019-11-04 00:00:00.000;A-4166;6108
C;498;2019-11-04 00:00:00.000;A-4166;6108
O;134;2019-11-05 00:00:00.000;A-4166;6108
O;149;2019-11-05 00:00:00.000;A-4166;6108
O;358;2019-11-05 00:00:00.000;A-4166;6108
O;214;2019-11-05 00:00:00.000;A-4166;6108
O;347;2019-11-05 00:00:00.000;A-4152;5102
O;428;2019-11-05 00:00:00.000;A-4360;5102
O;387;2019-11-05 00:00:00.000;A-4222;6922
O;110;2019-11-05 00:00:00.000;A-4222;6922
